Age,Education,Department,Job_Title,Experience_Years,Num_Skills,Skills,Salary_USD,Salary_Label
24,Bachelor's,Sales,Account Manager,1,6,"Communication, Leadership, SQL, Cloud (AWS/GCP), Data Analysis, Python",62498.44,Low
27,PhD,HR,HR Manager,0,7,"Leadership, JavaScript, Power BI, Data Analysis, Machine Learning, Java, Excel",75862.6,High
39,Master's,HR,Recruiter,14,6,"Power BI, Excel, Java, Python, JavaScript, Project Management",101597.73,High
32,PhD,Marketing,SEO Analyst,8,2,"Project Management, Java",83112.1,High
33,Bachelor's,IT,Software Engineer,10,5,"Excel, Power BI, Python, Data Analysis, Leadership",82766.02,High
27,Bachelor's,IT,QA Engineer,7,6,"Project Management, Power BI, Python, Data Analysis, SQL, Machine Learning",59879.33,Low
29,PhD,Finance,CFO,3,5,"Project Management, Cloud (AWS/GCP), Excel, Leadership, Power BI",94730.5,High
40,Master's,Sales,Sales Head,17,7,"Communication, Excel, Project Management, Leadership, Machine Learning, Cloud (AWS/GCP), Data Analysis",98929.78,High
27,Bachelor's,Data Science,Data Analyst,5,3,"Data Analysis, JavaScript, SQL",72997.9,High
26,PhD,HR,HR Manager,0,5,"JavaScript, Leadership, Project Management, Power BI, Data Analysis",73760.76,High
31,Master's,IT,DevOps Engineer,7,7,"JavaScript, Java, Project Management, Python, Communication, Machine Learning, Cloud (AWS/GCP)",76992.03,High
27,High School,Sales,Account Manager,7,2,"Python, Excel",70347.82,High
23,High School,Sales,Sales Executive,5,4,"Power BI, Cloud (AWS/GCP), Excel, JavaScript",54442.12,Low
25,Master's,Finance,Accountant,3,4,"JavaScript, Java, Excel, Python",72764.26,High
28,Bachelor's,Data Science,ML Engineer,5,5,"Power BI, SQL, Leadership, Machine Learning, JavaScript",75636.51,High
20,High School,Data Science,ML Engineer,0,7,"Java, JavaScript, Cloud (AWS/GCP), Leadership, SQL, Machine Learning, Communication",56452.31,Low
41,Master's,Sales,Sales Executive,17,4,"JavaScript, Python, Project Management, Communication",98173.06,High
26,Master's,Finance,Accountant,2,6,"Leadership, Project Management, Power BI, Java, Communication, SQL",70167.6,High
25,Master's,Finance,CFO,1,4,"Leadership, Cloud (AWS/GCP), Python, Machine Learning",69847.99,Low
23,Master's,Data Science,ML Engineer,1,5,"Excel, Machine Learning, Python, Leadership, Cloud (AWS/GCP)",82668.88,High
27,Bachelor's,Data Science,Data Scientist,5,3,"Data Analysis, Cloud (AWS/GCP), Excel",66870.1,Low
31,Master's,Data Science,ML Engineer,7,3,"Communication, Project Management, Excel",83850.91,High
26,Master's,Finance,CFO,1,3,"Excel, Communication, Project Management",62230.42,Low
27,Master's,Marketing,Marketing Manager,4,3,"Leadership, Communication, Python",67017.77,Low
22,Bachelor's,Finance,CFO,0,4,"JavaScript, Leadership, Python, Excel",46458.53,Low
22,Bachelor's,Sales,Account Manager,1,6,"Project Management, Leadership, SQL, Communication, JavaScript, Java",58349.72,Low
39,Bachelor's,Marketing,Content Writer,18,5,"SQL, Project Management, Excel, Cloud (AWS/GCP), Communication",85813.02,High
24,Master's,IT,Software Engineer,2,5,"Cloud (AWS/GCP), Communication, JavaScript, Data Analysis, SQL",66147.03,Low
25,PhD,HR,HR Manager,1,2,"Project Management, Java",55872.59,Low
23,Bachelor's,Data Science,Data Scientist,3,7,"Cloud (AWS/GCP), Power BI, Java, Project Management, Machine Learning, Communication, Leadership",85722.62,High
24,PhD,HR,HR Manager,0,7,"Project Management, Machine Learning, Java, Cloud (AWS/GCP), Communication, Leadership, SQL",61417.03,Low
30,Master's,Operations,Operations Manager,7,3,"Data Analysis, Excel, Project Management",65141.44,Low
25,Master's,Sales,Account Manager,2,5,"Python, Java, Communication, Excel, Leadership",60862.39,Low
22,Master's,HR,Training Specialist,0,7,"Power BI, Leadership, Java, Python, Data Analysis, JavaScript, Communication",60307.16,Low
20,Bachelor's,Marketing,Content Writer,0,4,"Leadership, Python, Project Management, Cloud (AWS/GCP)",53728.37,Low
34,Bachelor's,Sales,Account Manager,11,6,"Cloud (AWS/GCP), Java, JavaScript, Excel, Leadership, Communication",76614.13,High
27,PhD,Sales,Sales Head,3,3,"Cloud (AWS/GCP), Excel, Python",73189.59,High
24,Bachelor's,Operations,Logistics Head,1,7,"Leadership, Project Management, Machine Learning, Power BI, Data Analysis, Python, Excel",64106.5,Low
24,Master's,IT,QA Engineer,0,2,"Communication, Power BI",62614.58,Low
24,Master's,Finance,Financial Analyst,0,6,"SQL, Java, Machine Learning, Communication, Cloud (AWS/GCP), Project Management",55736.06,Low
31,Bachelor's,HR,Training Specialist,11,5,"Machine Learning, Project Management, Cloud (AWS/GCP), Communication, Java",68009.04,Low
24,Bachelor's,Marketing,SEO Analyst,4,7,"JavaScript, Leadership, Excel, Python, Power BI, Cloud (AWS/GCP), Machine Learning",55206.09,Low
24,Bachelor's,Sales,Sales Head,4,5,"Java, Python, Project Management, Machine Learning, Excel",53509.85,Low
25,PhD,Data Science,ML Engineer,1,2,"Java, JavaScript",96812.25,High
23,Master's,HR,HR Manager,1,7,"Machine Learning, Power BI, Data Analysis, Leadership, Cloud (AWS/GCP), Python, JavaScript",60904.27,Low
27,Master's,Marketing,Marketing Manager,3,7,"Cloud (AWS/GCP), Excel, Project Management, Communication, Python, Java, Power BI",64938.56,Low
20,Bachelor's,Operations,Logistics Head,0,2,"Power BI, SQL",56136.12,Low
29,Master's,Finance,Financial Analyst,4,6,"Machine Learning, Excel, Leadership, Python, Project Management, Cloud (AWS/GCP)",84078.54,High
27,Bachelor's,Sales,Sales Head,5,7,"JavaScript, Project Management, Python, Power BI, Data Analysis, Communication, Excel",57968.28,Low
27,Master's,Data Science,Data Analyst,4,7,"Project Management, Excel, Communication, Java, Python, Cloud (AWS/GCP), SQL",82254.6,High
25,Master's,Sales,Sales Head,1,6,"Machine Learning, SQL, Java, JavaScript, Communication, Project Management",84868.39,High
27,Bachelor's,Finance,CFO,5,3,"Data Analysis, Java, JavaScript",65304.45,Low
30,Master's,Finance,Financial Analyst,8,3,"Excel, JavaScript, Power BI",77120.08,High
26,Master's,Marketing,SEO Analyst,4,3,"Python, Data Analysis, JavaScript",57997.76,Low
45,Master's,IT,QA Engineer,20,5,"Power BI, Project Management, Python, Excel, Leadership",103002.0,High
22,Bachelor's,Operations,Supply Chain Analyst,0,2,"Excel, Data Analysis",32975.0,Low
20,High School,Operations,Logistics Head,2,7,"Java, Leadership, Project Management, Communication, Excel, Power BI, Data Analysis",38092.11,Low
24,High School,Finance,Financial Analyst,3,5,"Cloud (AWS/GCP), Project Management, SQL, Excel, Communication",52182.22,Low
25,Master's,IT,Software Engineer,0,7,"Machine Learning, Leadership, Excel, Project Management, Communication, JavaScript, Data Analysis",64043.72,Low
36,High School,IT,DevOps Engineer,16,2,"Project Management, Java",68604.08,Low
29,Master's,Marketing,SEO Analyst,5,5,"Leadership, Excel, Data Analysis, Cloud (AWS/GCP), Power BI",66943.02,Low
19,High School,Data Science,ML Engineer,1,4,"JavaScript, Power BI, Machine Learning, Leadership",46609.16,Low
24,Master's,Operations,Operations Manager,2,4,"Cloud (AWS/GCP), Leadership, Machine Learning, Python",68806.13,Low
26,High School,Data Science,Data Analyst,5,4,"Data Analysis, Leadership, Cloud (AWS/GCP), JavaScript",54828.34,Low
24,Bachelor's,IT,DevOps Engineer,1,6,"Communication, SQL, JavaScript, Leadership, Java, Project Management",50148.22,Low
27,Bachelor's,HR,Training Specialist,6,4,"Python, Data Analysis, Machine Learning, SQL",57328.32,Low
19,High School,Data Science,Data Scientist,1,3,"Machine Learning, Excel, Data Analysis",39047.15,Low
26,Master's,HR,Recruiter,4,6,"Java, JavaScript, Cloud (AWS/GCP), Python, Machine Learning, Project Management",68752.49,Low
36,Master's,Finance,Financial Analyst,13,2,"JavaScript, Machine Learning",92353.21,High
21,Bachelor's,Marketing,SEO Analyst,1,2,"Excel, SQL",54994.27,Low
33,Master's,Marketing,SEO Analyst,9,4,"Cloud (AWS/GCP), Leadership, Project Management, Machine Learning",75888.72,High
31,Bachelor's,Data Science,ML Engineer,10,3,"Data Analysis, Java, Cloud (AWS/GCP)",78011.57,High
29,Master's,IT,DevOps Engineer,4,7,"Power BI, JavaScript, Cloud (AWS/GCP), Python, Leadership, Project Management, Machine Learning",76580.38,High
22,Bachelor's,Finance,Financial Analyst,2,4,"Java, Leadership, Machine Learning, Python",49286.32,Low
25,Master's,Marketing,Content Writer,2,2,"Python, Communication",62197.5,Low
30,PhD,Marketing,SEO Analyst,4,5,"Data Analysis, SQL, Excel, Communication, Cloud (AWS/GCP)",75289.14,High
25,Master's,IT,Software Engineer,1,3,"Cloud (AWS/GCP), Excel, SQL",79359.24,High
28,Master's,Sales,Account Manager,6,6,"Java, Machine Learning, Project Management, Python, Communication, Cloud (AWS/GCP)",80157.37,High
23,Bachelor's,Data Science,Data Analyst,2,4,"Python, Excel, Project Management, Leadership",66151.3,Low
22,Master's,Operations,Supply Chain Analyst,0,7,"Leadership, JavaScript, Machine Learning, SQL, Java, Communication, Power BI",55499.8,Low
23,Master's,Sales,Sales Executive,0,3,"Excel, Power BI, Project Management",58207.26,Low
25,Bachelor's,Data Science,Data Analyst,2,2,"Power BI, Machine Learning",71820.24,High
44,Master's,Marketing,Marketing Manager,20,5,"Project Management, Power BI, Machine Learning, JavaScript, SQL",121995.9,High
25,Bachelor's,Operations,Operations Manager,2,6,"Excel, SQL, JavaScript, Python, Data Analysis, Cloud (AWS/GCP)",67391.51,Low
23,Bachelor's,HR,HR Manager,0,3,"SQL, Project Management, Cloud (AWS/GCP)",41698.77,Low
22,Bachelor's,HR,Recruiter,1,7,"Cloud (AWS/GCP), SQL, Machine Learning, Project Management, Python, Data Analysis, Leadership",49370.61,Low
27,Bachelor's,Marketing,Content Writer,4,2,"Python, Project Management",58354.12,Low
24,Bachelor's,Finance,Accountant,2,4,"JavaScript, Power BI, Cloud (AWS/GCP), Machine Learning",45965.68,Low
44,Bachelor's,Sales,Sales Executive,23,6,"Power BI, Machine Learning, Data Analysis, Java, Project Management, Leadership",98737.24,High
30,Master's,Operations,Logistics Head,6,3,"Python, Excel, Java",69758.15,Low
21,Bachelor's,IT,Software Engineer,1,5,"Machine Learning, Python, SQL, Power BI, Project Management",69660.75,Low
20,High School,IT,Software Engineer,0,7,"Cloud (AWS/GCP), Java, SQL, Leadership, Communication, Excel, JavaScript",48538.94,Low
22,Bachelor's,Marketing,SEO Analyst,1,5,"JavaScript, Machine Learning, Communication, Power BI, SQL",36474.63,Low
45,Bachelor's,Marketing,Content Writer,24,2,"Leadership, JavaScript",112382.04,High
33,Master's,Marketing,SEO Analyst,9,7,"Leadership, Machine Learning, Communication, Data Analysis, SQL, Power BI, JavaScript",93499.09,High
24,Master's,IT,QA Engineer,1,7,"Cloud (AWS/GCP), Project Management, Python, Communication, Leadership, Power BI, SQL",92716.51,High
23,Bachelor's,HR,HR Manager,2,3,"Power BI, Cloud (AWS/GCP), Leadership",41227.71,Low
28,Master's,Marketing,Marketing Manager,5,7,"Cloud (AWS/GCP), Excel, Power BI, Communication, JavaScript, SQL, Leadership",78869.11,High
31,Bachelor's,HR,Recruiter,10,4,"SQL, Leadership, Project Management, Python",67410.09,Low
30,Master's,IT,DevOps Engineer,6,3,"Excel, Java, Communication",80901.24,High
24,Bachelor's,Sales,Sales Head,3,2,"Data Analysis, Leadership",58609.3,Low
25,Master's,HR,Training Specialist,3,7,"Machine Learning, Project Management, SQL, Communication, Leadership, Cloud (AWS/GCP), Excel",63785.96,Low
30,Bachelor's,IT,Software Engineer,8,5,"Excel, Cloud (AWS/GCP), Machine Learning, Project Management, Communication",70461.36,High
42,Master's,HR,HR Manager,20,3,"SQL, Cloud (AWS/GCP), JavaScript",110860.57,High
25,Master's,HR,HR Manager,0,2,"Java, Communication",62774.4,Low
28,Master's,Data Science,Data Analyst,6,5,"Java, Python, Cloud (AWS/GCP), Excel, Power BI",100496.65,High
19,High School,Operations,Logistics Head,1,2,"Leadership, Excel",37116.27,Low
25,Bachelor's,Data Science,Data Scientist,5,6,"Project Management, Java, Excel, SQL, Communication, Cloud (AWS/GCP)",63579.52,Low
20,Bachelor's,Operations,Logistics Head,0,2,"SQL, Cloud (AWS/GCP)",58209.53,Low
35,Bachelor's,Marketing,Marketing Manager,15,6,"Communication, SQL, Project Management, Data Analysis, JavaScript, Cloud (AWS/GCP)",85014.71,High
36,PhD,Finance,Accountant,10,2,"Machine Learning, Excel",98547.17,High
28,PhD,HR,Training Specialist,3,4,"Data Analysis, Java, Leadership, Python",68951.07,Low
24,Bachelor's,Operations,Logistics Head,1,4,"Cloud (AWS/GCP), Power BI, Project Management, Python",41812.37,Low
20,High School,Sales,Sales Executive,0,2,"Leadership, Python",31176.98,Low
30,Master's,Data Science,Data Scientist,5,5,"Data Analysis, Java, Python, JavaScript, Project Management",95176.64,High
20,Bachelor's,HR,Recruiter,0,2,"Power BI, Project Management",65697.24,Low
34,Bachelor's,Data Science,ML Engineer,11,5,"Cloud (AWS/GCP), Excel, Communication, Project Management, Machine Learning",78214.84,High
21,Bachelor's,Finance,Financial Analyst,0,6,"Python, Cloud (AWS/GCP), Power BI, JavaScript, Machine Learning, Excel",51105.51,Low
24,High School,IT,Software Engineer,5,7,"Machine Learning, Excel, SQL, Cloud (AWS/GCP), Communication, Leadership, Power BI",56246.75,Low
29,Master's,Finance,CFO,7,3,"SQL, Communication, JavaScript",88821.77,High
26,Bachelor's,Finance,Financial Analyst,3,2,"Data Analysis, Cloud (AWS/GCP)",76654.75,High
26,Bachelor's,Marketing,Content Writer,5,3,"Cloud (AWS/GCP), SQL, Power BI",43976.24,Low
30,PhD,IT,QA Engineer,4,5,"Excel, Java, Power BI, Python, Machine Learning",94436.66,High
34,Master's,Marketing,Marketing Manager,12,7,"Project Management, JavaScript, Power BI, Excel, Python, Communication, Java",92999.36,High
23,Master's,IT,DevOps Engineer,0,7,"Data Analysis, Python, Project Management, Excel, Communication, JavaScript, SQL",66220.32,Low
23,Master's,HR,Training Specialist,1,7,"Cloud (AWS/GCP), Java, Data Analysis, JavaScript, Communication, Python, Project Management",57023.38,Low
37,High School,Data Science,ML Engineer,16,5,"JavaScript, Project Management, Communication, Java, Power BI",104375.56,High
25,PhD,Data Science,ML Engineer,0,6,"Cloud (AWS/GCP), Project Management, Java, Data Analysis, Communication, Excel",91276.8,High
22,Bachelor's,Finance,CFO,2,5,"Data Analysis, Java, Python, Project Management, Communication",62583.34,Low
22,High School,Data Science,ML Engineer,1,4,"Leadership, Machine Learning, Data Analysis, Java",38585.93,Low
23,Bachelor's,Operations,Operations Manager,1,6,"Machine Learning, Python, Leadership, Java, Excel, Communication",44920.64,Low
29,Bachelor's,Sales,Sales Head,9,3,"Machine Learning, Excel, Leadership",76968.25,High
24,Bachelor's,IT,QA Engineer,1,4,"Communication, JavaScript, Excel, Python",57622.9,Low
40,Master's,Finance,CFO,15,2,"JavaScript, SQL",92837.93,High
41,Master's,IT,Software Engineer,17,2,"Power BI, Excel",96530.14,High
25,Master's,Operations,Operations Manager,0,2,"Leadership, JavaScript",54507.65,Low
26,Master's,Sales,Sales Head,2,5,"Leadership, Project Management, Excel, Power BI, Python",73516.68,High
21,Bachelor's,Operations,Logistics Head,1,6,"Machine Learning, Cloud (AWS/GCP), Leadership, Excel, Data Analysis, Python",55637.57,Low
37,Bachelor's,Sales,Sales Head,14,5,"Java, JavaScript, Machine Learning, Cloud (AWS/GCP), Python",79964.25,High
23,Bachelor's,HR,HR Manager,0,4,"Data Analysis, Power BI, Leadership, Machine Learning",41311.41,Low
29,Master's,Operations,Logistics Head,5,6,"Leadership, SQL, Java, Communication, JavaScript, Power BI",75996.56,High
31,Bachelor's,Finance,Accountant,8,5,"JavaScript, Excel, Machine Learning, SQL, Leadership",73699.45,High
29,Bachelor's,IT,QA Engineer,7,3,"Python, SQL, JavaScript",78945.47,High
30,Master's,IT,DevOps Engineer,7,3,"Excel, JavaScript, Project Management",73809.49,High
24,Master's,Marketing,SEO Analyst,2,3,"Python, Machine Learning, Data Analysis",49108.34,Low
23,Master's,Marketing,Marketing Manager,0,4,"Python, Project Management, Communication, Java",54866.78,Low
25,Bachelor's,HR,HR Manager,3,4,"Leadership, Python, Machine Learning, Java",54907.1,Low
32,Bachelor's,Sales,Sales Executive,11,7,"Communication, Power BI, Excel, JavaScript, Java, SQL, Project Management",79153.18,High
27,PhD,HR,HR Manager,1,4,"Excel, Data Analysis, Python, JavaScript",70442.4,High
24,Master's,IT,Software Engineer,2,5,"JavaScript, Project Management, Power BI, Leadership, SQL",76420.24,High
25,Master's,HR,Recruiter,3,2,"JavaScript, Power BI",51816.35,Low
26,Master's,HR,Training Specialist,3,4,"Cloud (AWS/GCP), Power BI, Python, JavaScript",69167.37,Low
28,Master's,Finance,Financial Analyst,4,6,"Leadership, Java, SQL, Communication, Python, Project Management",68773.25,Low
27,Master's,Marketing,SEO Analyst,2,3,"Excel, Cloud (AWS/GCP), Java",59786.2,Low
19,High School,Data Science,Data Scientist,0,7,"Cloud (AWS/GCP), Power BI, Machine Learning, Data Analysis, SQL, Python, Java",42260.52,Low
19,High School,Marketing,SEO Analyst,1,5,"Leadership, Python, Communication, Cloud (AWS/GCP), Project Management",31007.75,Low
24,Bachelor's,Marketing,SEO Analyst,2,4,"Machine Learning, SQL, Python, Leadership",64417.32,Low
25,Bachelor's,Marketing,Marketing Manager,4,2,"SQL, Project Management",55064.8,Low
25,Master's,IT,Software Engineer,1,2,"Java, Communication",61118.93,Low
20,High School,Marketing,Marketing Manager,0,7,"SQL, Project Management, Power BI, Excel, Communication, Cloud (AWS/GCP), Python",42912.78,Low
23,Bachelor's,IT,QA Engineer,1,5,"Power BI, Java, Excel, Cloud (AWS/GCP), Leadership",72058.34,High
25,PhD,IT,Software Engineer,0,2,"SQL, Python",74079.45,High
29,Master's,HR,Recruiter,5,3,"Data Analysis, Python, Project Management",61697.72,Low
25,Bachelor's,IT,QA Engineer,2,4,"Machine Learning, Cloud (AWS/GCP), Excel, SQL",54029.56,Low
25,Bachelor's,IT,DevOps Engineer,3,4,"Project Management, Excel, Machine Learning, Communication",65871.84,Low
22,Bachelor's,Data Science,Data Scientist,1,3,"Data Analysis, Machine Learning, Cloud (AWS/GCP)",64291.38,Low
30,Bachelor's,HR,Recruiter,8,3,"Java, Leadership, Power BI",70087.57,High
26,Bachelor's,Operations,Operations Manager,5,4,"Python, SQL, Java, Communication",48212.36,Low
27,Master's,Finance,Financial Analyst,2,4,"Java, Power BI, SQL, Leadership",66928.89,Low
32,PhD,Data Science,Data Analyst,8,6,"Project Management, Machine Learning, Cloud (AWS/GCP), Excel, Java, Python",96944.16,High
37,Bachelor's,IT,QA Engineer,16,3,"Cloud (AWS/GCP), Project Management, Machine Learning",94302.73,High
27,Bachelor's,HR,Training Specialist,7,3,"JavaScript, Java, Project Management",62382.85,Low
24,Master's,Sales,Account Manager,0,2,"Cloud (AWS/GCP), Python",44174.82,Low
32,Master's,Finance,Financial Analyst,10,4,"Java, Project Management, Data Analysis, SQL",78948.69,High
26,Master's,Operations,Logistics Head,2,5,"Communication, Data Analysis, Power BI, Cloud (AWS/GCP), Excel",59653.11,Low
23,Bachelor's,HR,Training Specialist,0,5,"Python, Cloud (AWS/GCP), Leadership, Machine Learning, Power BI",59255.02,Low
27,Master's,IT,QA Engineer,3,3,"Machine Learning, Data Analysis, Project Management",75564.9,High
24,Master's,Marketing,Content Writer,0,5,"JavaScript, Machine Learning, Communication, Data Analysis, SQL",66245.48,Low
28,PhD,Sales,Sales Executive,2,3,"Machine Learning, SQL, Data Analysis",63294.61,Low
36,Master's,Operations,Logistics Head,12,5,"Power BI, Leadership, SQL, Data Analysis, Communication",89614.66,High
21,Bachelor's,Data Science,Data Analyst,0,3,"Project Management, Data Analysis, Machine Learning",50823.36,Low
22,Master's,HR,Training Specialist,0,3,"SQL, Python, Power BI",44431.96,Low
26,Bachelor's,IT,Software Engineer,4,3,"Cloud (AWS/GCP), Data Analysis, JavaScript",61162.39,Low
20,Bachelor's,Data Science,ML Engineer,0,3,"JavaScript, Data Analysis, Communication",71951.51,High
31,Master's,IT,Software Engineer,6,4,"Machine Learning, SQL, Cloud (AWS/GCP), Project Management",63313.47,Low
